video_id,title,channel_name,views,duration_seconds,duration_minutes,days_since_upload,title_length,title_uppercase_ratio,title_word_count,views_per_day,data_source,video_age_category,is_recent,log_days_since_upload,duration_category,is_short_video,is_long_video,log_duration,has_clickbait_words,has_numbers,has_question,has_exclamation,title_length_category,log_views,log_views_per_day,view_velocity,is_high_view
_uQrJ0TkZlc,Python Full Course for Beginners,Unknown,46000000,0,0.0,2190,32,0.1428571428571428,5,21004.56621004566,scraped,old,0,7.692113339595466,very_short,1,0,0.0,0,0,0,0,medium,17.6441519761925,9.952542739205217,982959.8392925829,1
K5KVEU3aaeQ,Python Full Course for Beginners [2025],Unknown,3900000,0,0.0,240,39,0.1428571428571428,6,16250.0,scraped,quarter_old,0,5.484796933490655,very_short,1,0,0.0,0,1,0,0,medium,15.176487367510099,9.69590972432601,251743.91750348208,1
t8pPdKYpowI,Python Tutorial for Beginners - Learn Python in 5 Hours [FULL COURSE],Unknown,6500000,0,0.0,1460,69,0.2962962962962963,12,4452.054794520548,scraped,old,0,7.2868764117507,very_short,1,0,0.0,0,1,0,0,long,15.687312888712007,8.40134561032584,170112.77484181945,1
rfscVS0vtbw,Learn Python - Full Course for Beginners [Tutorial],Unknown,47000000,0,0.0,2555,51,0.1463414634146341,8,18395.30332681017,scraped,old,0,7.846198815497425,very_short,1,0,0.0,0,0,0,0,long,17.665658180950928,9.819905017261112,929827.5411924935,1
qwAFL1597eM,Python Tutorial for Beginners (with mini-projects),Unknown,967000,0,0.0,730,50,0.0714285714285714,6,1324.657534246575,scraped,old,0,6.594413459749778,very_short,1,0,0.0,0,0,0,0,medium,13.78195480856106,7.189663867589457,35790.275713054216,0
ix9cRaBkVe0,Python Full Course for free 🐍,Unknown,6900000,0,0.0,365,29,0.1304347826086956,6,18904.10958904109,scraped,quarter_old,0,5.902633333401366,very_short,1,0,0.0,0,0,0,0,short,15.747032114495013,9.847187513136642,361162.5065872475,1
b093aqAZiPU,👩‍💻 Python for Beginners Tutorial,Unknown,4000000,0,0.0,1460,33,0.1153846153846153,5,2739.72602739726,scraped,old,0,7.2868764117507,very_short,1,0,0.0,0,0,0,0,medium,15.201805169084134,7.915978137785487,104684.78451804275,1
fWjsdhR3z3c,Learn Python in Less than 10 Minutes for Beginners (Fast & Easy),Unknown,1000000,0,0.0,1460,64,0.1458333333333333,12,684.931506849315,scraped,old,0,7.2868764117507,very_short,1,0,0.0,0,1,0,0,long,13.815511557963774,6.530777778498136,26171.19612951069,0
kqtD5dpn9C8,Python for Beginners - Learn Coding with Python in 1 Hour,Unknown,22000000,0,0.0,1825,57,0.1333333333333333,11,12054.794520547945,scraped,old,0,7.509883061154913,very_short,1,0,0.0,0,1,0,0,long,16.906553056777135,9.397300696410914,514981.0476629745,1
Ro_MScTDfU4,Learn Python in Only 30 Minutes (Beginner Tutorial),Unknown,300000,0,0.0,330,51,0.15,8,909.0909090909092,scraped,quarter_old,0,5.802118375377063,very_short,1,0,0.0,0,1,0,0,long,12.611541086966115,6.813544494621113,16514.456476895408,0
